0.061862, 0.467173, 2.530254
0.093814, 0.765981, 2.516369
0.124497, 1.053392, 2.492195
0.085030, 1.146767, 2.459613
-0.013358, 0.909183, 2.540731
-0.073567, 0.709701, 2.722087
-0.162029, 0.512729, 2.672559
-0.189741, 0.433432, 2.646015
0.219059, 0.914636, 2.385834
0.306497, 0.706157, 2.313223
0.195595, 0.494783, 2.265248
0.151245, 0.442408, 2.290859
0.007925, 0.459346, 2.518698
-0.047269, 0.089687, 2.549559
0.169678, -0.259347, 2.465163
0.122943, -0.285280, 2.359195
0.114071, 0.461692, 2.469710
0.098218, 0.085886, 2.377650
0.135176, -0.267875, 2.400713
0.092977, -0.318846, 2.289758
0.117013, 0.983192, 2.500202
-0.184740, 0.354322, 2.618421
-0.214792, 0.438863, 2.624292
0.099350, 0.355744, 2.304239
0.109965, 0.428323, 2.225375
0.061205, 0.467571, 2.532606
0.093492, 0.766031, 2.518075
0.124416, 1.053213, 2.493405
0.085201, 1.146875, 2.459623
-0.015538, 0.913357, 2.544823
-0.076338, 0.709229, 2.721605
-0.168176, 0.515072, 2.667456
-0.201108, 0.439803, 2.627599
0.219710, 0.914075, 2.387230
0.307176, 0.706136, 2.317007
0.196316, 0.496356, 2.268368
0.151364, 0.441105, 2.289928
0.007165, 0.460599, 2.521278
-0.053045, 0.091583, 2.550208
0.170818, -0.260003, 2.480158
0.126313, -0.284464, 2.377864
0.113482, 0.461349, 2.472060
0.097794, 0.088831, 2.383147
0.128820, -0.259846, 2.399834
0.094579, -0.314040, 2.294472
0.116879, 0.983060, 2.501522
-0.208513, 0.367643, 2.603828
-0.223331, 0.456478, 2.604111
0.107443, 0.401163, 2.261761
0.123632, 0.431767, 2.219692
0.058146, 0.468632, 2.538296
0.090886, 0.765642, 2.523168
0.122163, 1.051544, 2.498107
0.085723, 1.147256, 2.461456
-0.020430, 0.914857, 2.552058
-0.084226, 0.709607, 2.719372
-0.178008, 0.519724, 2.655657
-0.208016, 0.443698, 2.607901
